Original_Serovar,curated_serovar,variant,other_serovar_info
Reading,Reading,,
Redhill,Redhill,,
Redlands,Redlands,,
Richmond,Richmond,,
Rideau,Rideau,,
Ridge,Ridge,,
Rissen,Rissen,,
Risssen,Rissen,,
"Rough -:l,z13:-",V 66:z81:-,,
Rubislaw,Rubislaw,,
Rubuislaw,Rubislaw,,
Ruiru,Ruiru,,
S.typhimurium,Typhimurium,,
Sachsenwald,"IV 1,40:z4,z23:-",,Sachsenwald
Sainpaul,Saintpaul,,
Saint-paul,Saintpaul,,
Saintpaul,Saintpaul,,
Saitpaul,Saintpaul,,
Salford,Salford,,
Salmonella Aba,Aba,,
Salmonella Abony,Abony,,
Salmonella Adelaide,Adelaide,,
Salmonella Agama,Agama,,
Salmonella Agbeni,Agbeni,,
Salmonella Ago,Ago,,
Salmonella Agona,Agona,,
Salmonella Ajiobo,Ajiobo,,
Salmonella Alachua,Alachua,,
Salmonella Albany,Albany,,
Salmonella Albert,Albert,,
Salmonella Altona,Altona,,
Salmonella Amager,Amager,,
Salmonella Anatum,Anatum,,
Salmonella Arechavaleta,Arechavaleta,,
Salmonella Augustenborg,Augustenborg,,
Salmonella Bakau,Bakau,,
Salmonella Ball,Ball,,
Salmonella Bareilly,Bareilly,,
Salmonella Blockley,Blockley,,
Salmonella Bonariensis,Bonariensis,,
Salmonella Bovis-morbificans,Bovismorbificans,,
Salmonella Braenderup,Braenderup,,
Salmonella Brandenburg,Brandenburg,,
Salmonella Bredeney,Bredeney,,
Salmonella Bristol,Bristol,,
Salmonella Bron,Bron,,
Salmonella Brunei,Brunei,,
Salmonella Butantan,Butantan,,
Salmonella Cerro,Cerro,,
Salmonella Chailey,Chailey,,
Salmonella Chester,Chester,,
Salmonella Cholerae-suis,Choleraesuis,,
Salmonella Coeln,Coeln,,
Salmonella Concord,Concord,,
Salmonella Corvallis,Corvallis,,
Salmonella Cremieu,Cremieu,,
Salmonella Cubana,Cubana,,
Salmonella Curacao,Curacao,,
Salmonella Derby,Derby,,
Salmonella Djugu,Djugu,,
Salmonella Dublin,Dublin,,
Salmonella Durham,Durham,,
Salmonella Eastbourne,Eastbourne,,
Salmonella Eko,Eko,,
Salmonella Emek,Emek,,
Salmonella Enteritidis,Enteritidis,,
Salmonella Gaminara,Gaminara,,
Salmonella Gdansk,Gdansk,,
Salmonella Give,Give,,
Salmonella Glostrup,Glostrup,,
Salmonella Gold-coast,Goldcoast,,
Salmonella Hadar,Hadar,,
Salmonella Haifa,Haifa,,
Salmonella Hartford,Hartford,,
Salmonella Havana,Havana,,
Salmonella Heidelberg,Heidelberg,,
Salmonella Hull,Hull,,
Salmonella Hvittingfoss,Hvittingfoss,,
Salmonella Ibadan,Ibadan,,
Salmonella Idikan,Idikan,,
Salmonella Indiana,Indiana,,
Salmonella Infantis,Infantis,,
Salmonella Isangi,Isangi,,
Salmonella Itami,Itami,,
Salmonella Ituri,Ituri,,
Salmonella Java,Paratyphi B,Java,
Salmonella Javiana,Javiana,,
Salmonella Joal,Joal,,
Salmonella Johannesburg,Johannesburg,,
Salmonella Kallo,Kallo,,
Salmonella Kambole,Kambole,,
Salmonella Kastrup,Kastrup,,
Salmonella Kedougou,Kedougou,,
Salmonella Kentucky,Kentucky,,
Salmonella Khami,"II 47:b:e,n,x,z15",,
Salmonella Kiambu,Kiambu,,
Salmonella Kimuenza,Kimuenza,,
Salmonella Kingabwa,Kingabwa,,
Salmonella Kingston,Kingston,,
Salmonella Kisangani,Kisangani,,
Salmonella Kottbus,Kottbus,,
Salmonella Lanka,Weltevreden,15+,
Salmonella Larochelle,Larochelle,,
Salmonella Lindern,Lindern,,
Salmonella Litchfield,Litchfield,,
Salmonella Livingstone,Livingstone,,
Salmonella London,London,,
Salmonella Los-angeles,Losangeles,,
Salmonella Louisiana,Louisiana,,
Salmonella Malstatt,Malstatt,,
Salmonella Manchester,Manchester,,
Salmonella Mbandaka,Mbandaka,,
Salmonella Meleagridis,Meleagridis,,
Salmonella Mikawasima,Mikawasima,,
Salmonella Minneapolis,Anatum,"15+,35+",
Salmonella Minnesota,Minnesota,,
Salmonella Mississippi,Mississippi,,
Salmonella Monschaui,Monschaui,,
Salmonella Montevideo,Montevideo,,
Salmonella Mount-pleasant,Mountpleasant,,
Salmonella Muenchen,Muenchen,,
Salmonella Muenster,Muenster,,
Salmonella Napoli,Napoli,,
Salmonella Newport,Newport,,
Salmonella Nima,Nima,,
Salmonella Ohio,Ohio,,
Salmonella Oranienburg,Oranienburg,,
Salmonella Oslo,Oslo,,
Salmonella Othmarschen,Othmarschen,,
Salmonella Panama,Panama,,
Salmonella Paratyphi A,Paratyphi A,,
Salmonella Paratyphi B,Paratyphi B,,
Salmonella Pomona,Pomona,,
Salmonella Poona,Poona,,
Salmonella Potsdam,Potsdam,,
Salmonella Reading,Reading,,
Salmonella Remo,Remo,,
Salmonella Richmond,Richmond,,
Salmonella Ridge,Ridge,,
Salmonella Rissen,Rissen,,
Salmonella Saint-paul,Saintpaul,,
Salmonella San-diego,Sandiego,,
Salmonella Schwarzengrund,Schwarzengrund,,
Salmonella Sekondi,Sekondi,,
Salmonella Senftenberg,Senftenberg,,
Salmonella Shubra,Shubra,,
Salmonella Singapore,Singapore,,
Salmonella Soerenga,Soerenga,,
Salmonella Stanley,Stanley,,
Salmonella Szentes,Szentes,,
Salmonella Takoradi,Takoradi,,
Salmonella Tel-el-kebir,Telelkebir,,
Salmonella Tennessee,Tennessee,,
Salmonella Thompson,Thompson,,
Salmonella Typhi,Typhi,,
Salmonella Typhimurium,Typhimurium,,
Salmonella Typhimurium - monophasic,Typhimurium,,
Salmonella Uganda,Uganda,,
Salmonella Ughelli,Ughelli,,
Salmonella Umbilo,Umbilo,,
Salmonella Urbana,Urbana,,
Salmonella Virchow,Virchow,,
Salmonella Vitkin,Vitkin,,
Salmonella Wandsbek,II 21:z10:z6,,Wandsbek
Salmonella Wangata,Wangata,,
Salmonella Wassenaar,"IV 50:g,z51:-",,Wassenaar
Salmonella Waycross,Waycross,,
Salmonella Weltevreden,Weltevreden,,
Salmonella Wilhelmsburg,Wilhelmsburg,,
San-diego,Sandiego,,
Sandiego,Sandiego,,
Sangalkam,Sangalkam,,
Sanjuan,Sanjuan,,
Sao,Sao,,
Saphra,Saphra,,
Saugus,Saugus,,
Schleissheim,Schleissheim,,
Schwardzengrund,Schwarzengrund,,
Schwarzengru,Schwarzengrund,,
Schwarzengrund,Schwarzengrund,,
Seftenburg,Senftenberg,,
Sendai,Sendai,,
Senegal,Senegal,,
Senftenberg,Senftenberg,,
Seremban,Seremban,,
serovar_s,curated_serovar,variant,other_serovar_info
Shamba,Shamba,,
Shubra,Shubra,,
"SI 4,[5],12:i:-","I 4,[5],12:i:-",,
"SI 4,12:i:-","I 4,12:i:-",,
"SI 4,5,12: i: -","I 4,5,12: i: -",,
"SI 6,7:g,m,s:e,n,z15","I 6,7:g,m,s:e,n,z15",,
Simi,Simi,,
Singapore,Singapore,,
Sinstorf,Sinstorf,,
Soahanina,Soahanina,,
Soerenga,Soerenga,,
Sofia,"II 1,4,12,[27]:b:[e,n,x]",,Sofia
Solt,Solt,,
Soumbedioune,Soumbedioune,,
Southbank,Southbank,,
Stanley,Stanley,,
Stanley ville,Stanleyville,,
Stanleyville,Stanleyville,,
Stockholm,Stockholm,,
Stormont,Stormont,,
Stourbridge,Stourbridge,,
Strathcona,Strathcona,,
Suelldorf,Suelldorf,,
Sundsvall,Sundsvall,,
Szentes,Szentes,,
Takoradi,Takoradi,,
Tallahassee,Tallahassee,,
Tamale,Tamale,,
Tamberma,Tamberma,,
Tananarive,Tananarive,,
Tanger,Tanger,,
Tarshyne,Tarshyne,,
Teddington,Teddington,,
Tees,Tees,,
Teko,Teko,,
Tel-el-kebir,Telelkebir,,
Telaviv,Telaviv,,
Telelkebir,Telelkebir,,
Telhashomer,Telhashomer,,
Tennessee,Tennessee,,
Texas,Texas,,
Thompson,Thompson,,
Thompson (Cardiff),Thompson,,Cardiff
Tibati,Tibati,,
Togba,Togba,,
Tomegbe,Tomegbe,,
Tornow,Tornow,,
Toronto,Toronto,,
Trachau,Trachau,,
Tranaroa,II 55:k:z39,,Tranoroa
Treforest,Treforest,,
Troy,Troy,,
Tshiongwe,Tshiongwe,,
Tucson,Tucson,,
Tudu,Tudu,,
Typhi,Typhi,,
Typhi H58,Typhi,H58,
Typhi H58,Enteritidis,H58,
Typhimurium,Typhimurium,,
Typhimurium (S. typhimurium),Typhimurium,,
Typhimurium Copenhagen,Typhimurium,5-,Copenhagen
Typhimurium v. Copenhagen,Typhimurium,5-,Copenhagen
Typhimurium var 5-,Typhimurium,5-,Copenhagen
Typhimurium var O:5-,Typhimurium,5-,Copenhagen
Typhimurium var. 5 - (Copenhagen),Typhimurium,5-,Copenhagen
Typhimurium var. 5-,Typhimurium,5-,Copenhagen
Typhimurium var. Copenhagen,Typhimurium,5-,Copenhagen
Typhimurium var. O 5 - (Copenhagen),Typhimurium,5-,Copenhagen
Typhimurium var. O 5-(Copenhagen),Typhimurium,5-,Copenhagen
Typhimurium var. O:5-,Typhimurium,5-,Copenhagen
Typhimurium var.copenhagen,Typhimurium,5-,Copenhagen
Typhimuriun var. 5-,Typhimurium,5-,Copenhagen
Typhisuis,Typhisuis,,
Tyresoe,Tyresoe,,
Uganda,Uganda,,
Uganda var. O 15+ (Kinshasa),Uganda,15+,Kinshasa
Ughelli,Ughelli,,
Umbilo,Umbilo,,
Uphill,"II 42:b:e,n,x,z15",,Uphill
Uppsala,Uppsala,,
Urbana,Urbana,,
Uzaramo,Uzaramo,,
Vejle,Vejle,,
Veneziana,Veneziana,,
"VI  1,6,14,25:a:e,n,z15","VI 1,6,14,25:a:e,n,z15",,
"VI 6,14,25:a:e,n,x","VI 6,14,25:a:e,n,x",,
Victoria,Victoria,,
Vilvoorde,Vilvoorde,,
Vinnorrhady,Vinohrady,,
Vinobrady,Vinohrady,,
Vinohrady,Vinohrady,,
Virchow,Virchow,,
Virginia,Virginia,,
Vitkin,Vitkin,,
Volkmarsdorf,Volkmarsdorf,,
Wandsworth,Wandsworth,,
Wangata,Wangata,,
Warragul,Warragul,,
Wassenaar,"IV 50:g,z51:-",,Wassenaar
Waycross,Waycross,,
Welikade,Welikade,,
Weltenvreden,Weltevreden,,
Weltervreden,Weltevreden,,
Weltevreden,Weltevreden,,
Weltevreden var. O 15+ (Lanka),Weltevreden,15+,Lanka
Wentworth,Wentworth,,
Weslaco,Weslaco,,
Westhampton,Westhampton,,
Westminster,Westminster,,
Westthampton,Westhampton,,
Weybridge,Weybridge,,
Wien,Wien,,
Wilhemsburg,Wilhelmsburg,,
Wimborne,Wimborne,,
Wippra,Wippra,,
Woodinville,Woodinville,,
Worb,Worb,,
Worthington,Worthington,,
Yarrabah,Yarrabah,,
Yoruba,Yoruba,,
Zaiman,Zaiman,,
Zanzibar,Zanzibar,,
