Salmonella	Serogroup	Group	O Antigen	Shared H1 Probe	H Phase 1	H Phase 2	Other
Assen	L	O:21 (L)	21		a	"[1,5]"	
II	E	"O:3,10 (E1)"	"3,{10}{15}"		"g,m,s,t"	"[1,5]"	
II	P	O:38 (P)	38		d	"[1,5]"	
Banana	B	O:4 (B)	"1,4,[5],12"	mt/mptu	"m,t"	"[1,5]"	
Neunkirchen	P	O:38 (P)	38		z10	"[1,5]"	
Fulica	B	O:4 (B)	"4,[5],12"		a	"[1,5]"	
II	B	O:4 (B)	"1,4,12,[27]"		"g,[m],t"	"[1,5]"	
Kalamu	B	O:4 (B)	"1,4,[5],12"		"z4,z24"	"[1,5]"	
II	R	O:40 (R) 	"1,40"		"g,[m],[s],t"	"[1,5]"	
Djama	T	O:42 (T)	"1,42"		z29	"[1,5]"	
II	U	O:43 (U)	43	"g,s,t/g,t"	"g,t"	"[1,5]"	
II	Y	O:48 (Y)1	48		z10	"[1,5]"	
II	Z	O:50 (Z)	50		"g,[m],s,t"	"[1,5]"	
II		O:56	56		b	"[1,5]"	
Grancanaria	I	O:16 (l)	16		z39	"[1,6]"	
Kibi	I	O:16 (l)	16		"z4,z23"	"[1,6]"	
Regent	E	"O:3,10 (E1)"	"3,10"		"f,g,[s]"	"[1,6]"	
Southbank	E	"O:3,10 (E1)"	"3,{10}{15}{15,34}"	mt/mptu	"m,t"	"[1,6]"	
Gamaba	V	O:44 (V)	"1,44"		"g,m,[s]"	"[1,6]"	
Menston	C1	O:7 (C1)	"6,7"	"g,s,t/g,t"	"g,s,[t]"	"[1,6]"	
Adabraka	E	"O:3,10 (E1)"	"3,10"		"z4,z23"	"[1,7]"	
Wangata	A/D	O:9 (D1)	"1,9,12"		"z4,z23"	"[1,7]"	
Splott	V	O:44 (V)	44	"g,s,t/g,t"	"g,s,t"	"[1,7]"	
II	J	O:17 (J)	17	"g,s,t/g,t"	"g,t"	"[e,n,x,z15]"	
II	T	O:42 (T)	42	mt/mptu	"m,t"	"[e,n,x,z15]"	
IIIb		O:60	60		i	"[e,n,x,z15]"	[z50]
Chandans	F	O:11 (F)	11		d	"[e,n,x]"	[r]
II	G	O:13 (G)	"1,13,23"		"g,m,[s],t"	"[e,n,x]"	
II	I	O:16 (l)	16		"g,[m],[s],t"	"[e,n,x]"	
II	M	O:28 (M)	28	mt/mptu	"m,t"	"[e,n,x]"	
II	E	"O:3,10 (E1)"	"3,10"		z29	"[e,n,x]"	
II	Q	O:39 (Q)	39		"[g],m,t"	"[e,n,x]"	
Sophie	B	O:4 (B)	"1,4,[5],12,[27]"		b	"[e,n,x]"	
II	B	O:4 (B)	"1,4,12"		"l,z28"	"[e,n,x]"	
Sara	H	"O:6,14 (H)"	"1,6,14,25"		z38	"[e,n,x]"	
II	C1	O:7 (C1)	"6,7"		b	"[e,n,x]"	z42
II	C1	O:7 (C1)	"6,7"	"g,s,t/g,t"	"g,t"	"[e,n,x]"	z42
Chincol	C2-C3	O:8 (C2-C3)	"6,8"		"g,m,[s]"	"[e,n,x]"	
II	C2-C3	O:8 (C2-C3)	"6,8"		"f,g,m,t"	"[e,n,x]"	
II	A/D	O:9 (D1)	"1,9,12"		"g,z62"	"[e,n,x]"	
II	A/D	"O:9,46 (D2)"	"9,46"		"g,[m],[s],t"	"[e,n,x]"	
Bron	G	O:13 (G)	"13,22"		"g,m"	"[e,n,z15]"	
Ochiogu	E	"O:1,3,19 (E4)"	"1,3,19"		z38	"[e,n,z15]"	
Ried	G	O:13 (G)	"1,13,22"		"z4,z23"	"[e,n,z15]"	
Abadina	M	O:28 (M)	28		"g,m"	"[e,n,z15]"	
Babelsberg	M	O:28 (M)	28		"z4,z23"	"[e,n,z15]"	
Croft	M	O:28 (M)	28		"g,m,s"	"[e,n,z15]"	
Vinohrady	M	O:28 (M)	28	mt/mptu	"m,t"	"[e,n,z15]"	
Yolo	O	O:35 (O)	35		c	"[e,n,z15]"	
Chailey	C2-C3	O:8 (C2-C3)	"6,8"		"z4,z23"	"[e,n,z15]"	
Waycross	S	O:41 (S)	41		"z4,z23"	"[e,n,z15]"	
Wilhelmsburg	B	O:4 (B)	"1,4,[5],12,[27]"		z38	"[e,n,z15]"	
Imo	W	O:45 (W)	45	"l,v/l,z13"	"l,v"	"[e,n,z15]"	
Bousso	H	"O:6,14 (H)"	"1,6,14,25"		"z4,z23"	"[e,n,z15]"	
Tamale	C2-C3	O:8 (C2-C3)	"8,20"		z29	"[e,n,z15]"	
Uno	C2-C3	O:8 (C2-C3)	"6,8"		z29	"[e,n,z15]"	
IIIb		O:60	60		i	[z]	[z50]
IIIb		O:60	60		i	[z35]	[z50]
II	I	O:16 (l)	16	mt/mptu	"m,t"	[z42]	
II	U	O:43 (U)	43		"g,m,[s],t"	[z42]	
II	C1	O:7 (C1)	"6,7"		"g,[m],s,t"	[z42]	
II	C1	O:7 (C1)	"6,7"		z29	[z42]	
Epalinges	U	O:43 (U)	43		"l,w"	[z44]	
IIIb	P	O:38 (P)	38	"l,v/l,z13"	"l,v"	[z53]	[z54]
IIIb	P	O:38 (P)	38		z61	[z53]	
Oranienburg	C1	O:7 (C1)	"6,7,14"	mt/mptu	"m,t"	[z57]	
Othmarschen	C1	O:7 (C1)	"6,7,14"	mt/mptu	"m,t"	[z57]	
Llandoff	E	"O:1,3,19 (E4)"	"1,3,19"		z29	[z6]	[z37]
II	L	O:21 (L)	21		z10	[z6]	
Bolombo	E	"O:3,10 (E1)"	"3,10"		z38	[z6]	
Corvallis	C2-C3	O:8 (C2-C3)	"8,20"		"z4,z23"	[z6]	
II	T	O:42 (T)	"1,42"		"l,[z13],z28"	[z6]	
II	C1	O:7 (C1)	"6,7"		k	[z6]	
Be	C2-C3	O:8 (C2-C3)	"8,20"		a	[z6]	
California	B	O:4 (B)	"4,12"		"g,m,t"	[z67]	
Surrey	L	O:21 (L)	21		k	"1,(2),5"	
Thayngen	B	O:4 (B)	"1,4,12,27"		z41	"1,(2),5"	
Bilu	E	"O:1,3,19 (E4)"	"1,3,10,19"		"f,g,t"	"1,(2),7"	
VI	H	"O:6,14 (H)"	"1,6,14,25"		z10	"1,(2),7"	
II	I	O:16 (l)	16		"e,n,x"	"1,(5),7"	
II	I	O:16 (l)	16		z42	"1,(5),7"	
II	R	O:40 (R) 	"1,40"		[z42]	"1,(5),7"	
II	U	O:43 (U)	43		"e,n,x,z15"	"1,(5),7"	
Dortmund	E	"O:3,10 (E1)"	"3,10"		z41	"1,[2],5"	
Kambole	C1	O:7 (C1)	"6,7"		d	"1,[2],7"	
II	G	O:13 (G)	"1,13,23"		"e,n,x"	"1,[5],7"	
II	G	O:13 (G)	"1,13,23"		[z42]	"1,[5],7"	
II	J	O:17 (J)	17		"e,n,x,z15"	"1,[5],7"	
II	E	"O:3,10 (E1)"	"3,10"		z39	"1,[5],7"	
II	B	O:4 (B)	"1,4,12,[27]"		"e,n,x"	"1,[5],7"	
II	B	O:4 (B)	"1,4,12,[27]"		z39	"1,[5],7"	
II	R	O:40 (R) 	"1,40"		"e,n,x"	"1,[5],7"	
IIIb	X	O:47 (X)	47	"l,v/l,z13"	"l,v"	"1,[5],7"	[z50]
II	C1	O:7 (C1)	"6,7"		z42	"1,[5],7"	
II	A/D	O:9 (D1)	"9,12"		"e,n,x"	"1,[5],7"	
II	A/D	O:9 (D1)	"1,9,12"		z42	"1,[5],7"	
Aberdeen	F	O:11 (F)	11		i	"1,2"	
Hull	I	O:16 (l)	16		b	"1,2"	
Vejle	E	"O:3,10 (E1)"	"3,{10}{15}"		"e,h"	"1,2"	[z27]
Szentes	I	O:16 (l)	16		k	"1,2"	
Amager	E	"O:3,10 (E1)"	"3,{10}{15}"		y	"1,2"	[z45]
Matopeni	N	O:30 (N)	30		y	"1,2"	
Lokstedt	E	"O:1,3,19 (E4)"	"1,3,19"		"l,z13,z28"	"1,2"	
Stratford	E	"O:1,3,19 (E4)"	"1,3,19"		i	"1,2"	
Umbadah	E	"O:1,3,19 (E4)"	"1,3,19"		d	"1,2"	
Westerstede	E	"O:1,3,19 (E4)"	"1,3,19"	"l,v/l,z13"	"l,z13"	"1,2"	
Atento	F	O:11 (F)	11		b	"1,2"	
Ati	F	O:11 (F)	11		d	"1,2"	
Chingola	F	O:11 (F)	11		"e,h"	"1,2"	
Gallen	F	O:11 (F)	11		a	"1,2"	
Maastricht	F	O:11 (F)	11		z41	"1,2"	
Pretoria	F	O:11 (F)	11		k	"1,2"	
Stendal	F	O:11 (F)	11	"l,v/l,z13"	"l,v"	"1,2"	
Tours	F	O:11 (F)	11	"l,v/l,z13"	"l,z13"	"1,2"	
Wentworth	F	O:11 (F)	11		z10	"1,2"	
Handen	G	O:13 (G)	"1,13,23"		d	"1,2"	
Hannover	I	O:16 (l)	16		a	"1,2"	
Malakal	I	O:16 (l)	16		"e,h"	"1,2"	
Oldenburg	I	O:16 (l)	16		d	"1,2"	
Bonames	J	O:17 (J)	17		a	"1,2"	
Gori	J	O:17 (J)	17		z	"1,2"	
Jubilee	J	O:17 (J)	17		"e,h"	"1,2"	
Kirkee	J	O:17 (J)	17		b	"1,2"	
Lode	J	O:17 (J)	17		r	"1,2"	
Morotai	J	O:17 (J)	17	"l,v/l,z13"	"l,v"	"1,2"	
Diourbel	L	O:21 (L)	21		i	"1,2"	
Ibaragi	L	O:21 (L)	21		y	"1,2"	
Doorn	M	O:28 (M)	28		i	"1,2"	
Guildford	M	O:28 (M)	28		k	"1,2"	
Oskarshamn	M	O:28 (M)	28		y	"1,2"	
Rogy	M	O:28 (M)	28		z10	"1,2"	
Aminatu	E	"O:3,10 (E1)"	"3,10"		a	"1,2"	
Asylanta	E	"O:3,10 (E1)"	"3,10"		c	"1,2"	
Cuckmere	E	"O:3,10 (E1)"	"3,10"		i	"1,2"	
Freiburg	E	"O:3,10 (E1)"	"3,10"	"l,v/l,z13"	"l,z13"	"1,2"	
Kalina	E	"O:3,10 (E1)"	"3,10"		b	"1,2"	
Nchanga	E	"O:3,10 (E1)"	"3,{10}{15}"	"l,v/l,z13"	"l,v"	"1,2"	
Okerara	E	"O:3,10 (E1)"	"3,10"		z10	"1,2"	
Sandaga	E	"O:3,10 (E1)"	"3,10"		z38	"1,2"	
Seegefeld	E	"O:3,10 (E1)"	"3,10"	"r,i/r,[i]"	"r,i"	"1,2"	
Stormont	E	"O:3,10 (E1)"	"3,10"		d	"1,2"	
Wimborne	E	"O:3,10 (E1)"	"3,10"		k	"1,2"	
Grandhaven	N	O:30 (N)	30		r	"1,2"	
Hilversum	N	O:30 (N)	30		k	"1,2"	
Landau	N	O:30 (N)	30		i	"1,2"	
Ligeo	N	O:30 (N)	30	"l,v/l,z13"	"l,v"	"1,2"	
Livulu	N	O:30 (N)	30		"e,h"	"1,2"	
Louga	N	O:30 (N)	30		b	"1,2"	
Overvecht	N	O:30 (N)	30		a	"1,2"	
Sada	N	O:30 (N)	30		z10	"1,2"	
Keurmassar	O	O:35 (O)	35		c	"1,2"	
Alger	P	O:38 (P)	38	"l,v/l,z13"	"l,v"	"1,2"	
Echa	P	O:38 (P)	38		k	"1,2"	
II	P	O:38 (P)	38		b	"1,2"	
Typhimurium	B	O:4 (B)	"1,4,[5],12"		i	"1,2"	
Heidelberg	B	O:4 (B)	"1,4,[5],12"		r	"1,2"	
Newport	C2-C3	O:8 (C2-C3)	"6,8,20"		"e,h"	"1,2"	"[z67], [z78]"
Saintpaul	B	O:4 (B)	"1,4,[5],12"		"e,h"	"1,2"	
Stanley	B	O:4 (B)	"1,4,[5],12,[27]"		d	"1,2"	
Muenchen	C2-C3	O:8 (C2-C3)	"6,8"		d	"1,2"	[z67]
Virchow	C1	O:7 (C1)	"6,7,14"		r	"1,2"	
Litchfield	C2-C3	O:8 (C2-C3)	"6,8"	"l,v/l,z13"	"l,v"	"1,2"	
Paratyphi B var. Java	B	O:4 (B)	"1,4,[5],12"		b	"1,2"	"[z5],[z33]"
Paratyphi B	B	O:4 (B)	"1,4,[5],12"		b	"1,2"	"[z5],[z33]"
Haifa	B	O:4 (B)	"1,4,[5],12"		z10	"1,2"	
Richmond	C1	O:7 (C1)	"6,7"		y	"1,2"	
Bardo	C2-C3	O:8 (C2-C3)	8		"e,h"	"1,2"	
Coeln	B	O:4 (B)	"1,4,[5],12"		y	"1,2"	
Wandsworth	Q	O:39 (Q)	39		b	"1,2"	
Concord	C1	O:7 (C1)	"6,7"	"l,v/l,z13"	"l,v"	"1,2"	
Virginia	C2-C3	O:8 (C2-C3)	8		d	"1,2"	
Larochelle	C1	O:7 (C1)	"6,7"		"e,h"	"1,2"	
Galiema	C1	O:7 (C1)	"6,7,14"		k	"1,2"	
Mgulani	P	O:38 (P)	38		i	"1,2"	
Kisangani	B	O:4 (B)	"1,4,[5],12"		a	"1,2"	
Thetford	U	O:43 (U)	43		k	"1,2"	
Augustenborg	C1	O:7 (C1)	"6,7,14"		i	"1,2"	
Thiaroye	P	O:38 (P)	38		"e,h"	"1,2"	
Yoff	P	O:38 (P)	38		"z4,z23"	"1,2"	
Anfo	Q	O:39 (Q)	39		y	"1,2"	
Bruebach	Q	O:39 (Q)	39		"e,h"	"1,2"	
Fyris	B	O:4 (B)	"4,[5],12"	"l,v/l,z13"	"l,v"	"1,2"	
Kunduchi	B	O:4 (B)	"1,4,[5],12,[27]"		"l,[z13],[z28]"	"1,2"	
Shubra	B	O:4 (B)	"4,[5],12"		z	"1,2"	
Karamoja	R	O:40 (R) 	"1,40"		z41	"1,2"	
Millesi	R	O:40 (R) 	"1,40"	"l,v/l,z13"	"l,v"	"1,2"	
Tiko	R	O:40 (R) 	"1,40"		"l,z13,z28"	"1,2"	
Tilene	R	O:40 (R) 	"1,40"		"e,h"	"1,2"	
II	S	O:41 (S)	41		z10	"1,2"	
II	T	O:42 (T)	42		z10	"1,2"	
Farcha	U	O:43 (U)	43		y	"1,2"	
Graz	U	O:43 (U)	43		a	"1,2"	
Mbao	U	O:43 (U)	43		i	"1,2"	
Dapango	X	O:47 (X)	47		r	"1,2"	
Staoueli	X	O:47 (X)	47		k	"1,2"	
Wenatchee	X	O:47 (X)	47		b	"1,2"	
II	Y	O:48 (Y)1	48		d	"1,2"	
Fass	Z	O:50 (Z)	50	"l,v/l,z13"	"l,v"	"1,2"	
Harcourt		O:51	51	"l,v/l,z13"	"l,v"	"1,2"	
Meskin		O:51	51		"e,h"	"1,2"	
Windsheim		O:51	51		a	"1,2"	
Ndjamena	H	"O:6,14 (H)"	"1,6,14,25"		b	"1,2"	
Nessa	H	"O:6,14 (H)"	"1,6,14,25"		z10	"1,2"	
Crossness		O:67	67		r	"1,2"	
Brazzaville	C1	O:7 (C1)	"6,7"		b	"1,2"	
Chile	C1	O:7 (C1)	"6,7"		z	"1,2"	
Gabon	C1	O:7 (C1)	"6,7"		"l,w"	"1,2"	
Hissar	C1	O:7 (C1)	"6,7,14"		c	"1,2"	
IIIb	C1	O:7 (C1)	"6,7,14"		z39	"1,2"	
Kisii	C1	O:7 (C1)	"6,7"		d	"1,2"	
Menden	C1	O:7 (C1)	"6,7"		z10	"1,2"	
Rumford	C1	O:7 (C1)	"6,7"		z38	"1,2"	[z82]
Aesch	C2-C3	O:8 (C2-C3)	"6,8"		z60	"1,2"	
Bazenheid	C2-C3	O:8 (C2-C3)	"8,20"		z10	"1,2"	
Bsilla	C2-C3	O:8 (C2-C3)	"6,8"		r	"1,2"	
Djelfa	C2-C3	O:8 (C2-C3)	8		b	"1,2"	
Fayed	C2-C3	O:8 (C2-C3)	"6,8"		"l,w"	"1,2"	
Giza	C2-C3	O:8 (C2-C3)	"8,20"		y	"1,2"	
Kallo	C2-C3	O:8 (C2-C3)	"6,8"		k	"1,2"	
Kolda	C2-C3	O:8 (C2-C3)	"8,20"		z35	"1,2"	
Lamphun	C2-C3	O:8 (C2-C3)	"6,8"		y	"1,2"	
Lindenburg	C2-C3	O:8 (C2-C3)	"6,8"		i	"1,2"	
Pakistan	C2-C3	O:8 (C2-C3)	8	"l,v/l,z13"	"l,v"	"1,2"	
Skansen	C2-C3	O:8 (C2-C3)	"6,8"		b	"1,2"	
Valdosta	C2-C3	O:8 (C2-C3)	"6,8"		a	"1,2"	
Wingrove	C2-C3	O:8 (C2-C3)	"6,8"		c	"1,2"	
Yarm	C2-C3	O:8 (C2-C3)	"6,8"		z35	"1,2"	
Zerifin	C2-C3	O:8 (C2-C3)	"6,8"		z10	"1,2"	
Bournemouth	A/D	O:9 (D1)	"9,12"		"e,h"	"1,2"	
Mendoza	A/D	O:9 (D1)	"9,12"	"l,v/l,z13"	"l,v"	"1,2"	
Mulhouse	A/D	O:9 (D1)	"1,9,12"		z	"1,2"	
Onarimon	A/D	O:9 (D1)	"1,9,12"		b	"1,2"	
Bergedorf	A/D	"O:9,46 (D2)"	"9,46"		"e,h"	"1,2"	
Detmold	A/D	"O:9,46 (D2)"	"9,46"		a	"1,2"	
Marylebone	A/D	"O:9,46 (D2)"	"9,46"		k	"1,2"	
Montaigu	A/D	"O:9,46 (D2)"	"9,46"		b	"1,2"	
Melaka	I	O:16 (l)	16		b	"1,2,5"	
II	B	O:4 (B)	"4,12"		"e,n,x"	"1,2,7"	
Eingedi	C1	O:7 (C1)	"6,7"		"f,g,t"	"1,2,7"	
Macclesfield	A/D	"O:9,46 (D2)"	"9,46"		"g,m,s"	"1,2,7"	
Uganda	E	"O:3,10 (E1)"	"3,{10}{15}"	"l,v/l,z13"	"l,z13"	"1,5"	
Muenster	E	"O:3,10 (E1)"	"3,{10}{15}{15,34}"		"e,h"	"1,5"	[z48]
Mississippi	G	O:13 (G)	"1,13,23"		b	"1,5"	
Nima	M	O:28 (M)	28		y	"1,5"	
Orion	E	"O:3,10 (E1)"	"3,{10}{15}{15,34}"		y	"1,5"	
Cotham	M	O:28 (M)	28		i	"1,5"	
Jangwani	J	O:17 (J)	17		a	"1,5"	
Lexington	E	"O:3,10 (E1)"	"3,{10}{15}{15,34}"		z10	"1,5"	[z49]
Fluntern	K	O:18 (K)	"6,14,18"		b	"1,5"	
Irenea	J	O:17 (J)	17		k	"1,5"	
Michigan	J	O:17 (J)	17	"l,v/l,z13"	"l,v"	"1,5"	
Abaetetuba	F	O:11 (F)	11		k	"1,5"	
Ibadan	G	O:13 (G)	"13,22"		b	"1,5"	
Dahra	J	O:17 (J)	17		b	"1,5"	
Butantan	E	"O:3,10 (E1)"	"3,{10}{15}{15,34}"		b	"1,5"	
Idikan	G	O:13 (G)	"1,13,23"		i	"1,5"	
Roodepoort	G	O:13 (G)	"1,13,22"		z10	"1,5"	
Saphra	I	O:16 (l)	16		y	"1,5"	
Zanzibar	E	"O:3,10 (E1)"	"3,{10}{15}"		k	"1,5"	
Gnesta	E	"O:1,3,19 (E4)"	"1,3,19"		b	"1,5"	[z37]
Brijbhumi	F	O:11 (F)	11		i	"1,5"	
Memphis	K	O:18 (K)	18		k	"1,5"	
Farakan	M	O:28 (M)	28		z10	"1,5"	
Gbadago	E	"O:3,10 (E1)"	"3,{10}{15}"		c	"1,5"	
Freetown	P	O:38 (P)	38		y	"1,5"	
Catumagos	E	"O:1,3,19 (E4)"	"1,3,19"		z35	"1,5"	
Eastglam	E	"O:1,3,19 (E4)"	"1,3,19"		c	"1,5"	
Fulda	E	"O:1,3,19 (E4)"	"1,3,19"		"l,w"	"1,5"	
Gatineau	E	"O:1,3,19 (E4)"	"1,3,19"		y	"1,5"	
Korlebu	E	"O:1,3,19 (E4)"	"1,3,19"		z	"1,5"	
Ngor	E	"O:1,3,19 (E4)"	"1,3,19"	"l,v/l,z13"	"l,v"	"1,5"	
Niumi	E	"O:1,3,19 (E4)"	"1,3,19"		a	"1,5"	
Oesterbro	E	"O:1,3,19 (E4)"	"1,3,19"		k	"1,5"	
Ouagadougou	E	"O:1,3,19 (E4)"	"1,3,19"		i	"1,5"	
Stuivenberg	E	"O:1,3,19 (E4)"	"1,3,19"		"l,[z13],z28"	"1,5"	
Vilvoorde	E	"O:1,3,19 (E4)"	"1,3,19"		"e,h"	"1,5"	
Yenne	E	"O:1,3,19 (E4)"	"1,3,19"		z10	"1,5"	
Abuja	F	O:11 (F)	11		"g,m"	"1,5"	
Chiredzi	F	O:11 (F)	11		c	"1,5"	
Connecticut	F	O:11 (F)	11		"l,z13,z28"	"1,5"	
Crewe	F	O:11 (F)	11		z	"1,5"	
Glidji	F	O:11 (F)	11		"l,w"	"1,5"	
Gustavia	F	O:11 (F)	11		d	"1,5"	
II	F	O:11 (F)	11		-	"1,5"	
Leeuwarden	F	O:11 (F)	11		b	"1,5"	
Maracaibo	F	O:11 (F)	11	"l,v/l,z13"	"l,v"	"1,5"	
Marseille	F	O:11 (F)	11		a	"1,5"	
Senegal	F	O:11 (F)	11		r	"1,5"	
Solt	F	O:11 (F)	11		y	"1,5"	
Straengnaes	F	O:11 (F)	11		z10	"1,5"	
VI	F	O:11 (F)	11		a	"1,5"	
Chagoua	G	O:13 (G)	"1,13,23"		a	"1,5"	
II	G	O:13 (G)	"1,13,23"		a	"1,5"	
II	G	O:13 (G)	"13,22"		d	"1,5"	
II	G	O:13 (G)	"1,13,23"		"g,m,s,t"	"1,5"	
II	G	O:13 (G)	"1,13,23"	"g,s,t/g,t"	"g,t"	"1,5"	
II	G	O:13 (G)	"1,13,23"	mt/mptu	"m,t"	"1,5"	
II	G	O:13 (G)	"13,22"		k	"1,5"	z42
II	G	O:13 (G)	"13,22"		"l,z28"	"1,5"	
II	G	O:13 (G)	"13,23"		"l,z28"	"1,5"	
II	G	O:13 (G)	"1,13,23"		z	"1,5"	
II	G	O:13 (G)	"13,22"		z29	"1,5"	
II	G	O:13 (G)	"1,13,23"		z29	"1,5"	
IIIb	G	O:13 (G)	"13,23"		z	"1,5"	
Lovelace	G	O:13 (G)	"13,22"	"l,v/l,z13"	"l,v"	"1,5"	
Mishmarhaemek	G	O:13 (G)	"1,13,23"		d	"1,5"	
Tschangu	G	O:13 (G)	"1,13,23"		"e,h"	"1,5"	
Winslow	G	O:13 (G)	"13,22"		z	"1,5"	
Amina	I	O:16 (l)	16		i	"1,5"	
Badagry	I	O:16 (l)	16		z10	"1,5"	
Brazil	I	O:16 (l)	16		a	"1,5"	
Gerland	I	O:16 (l)	16		z	"1,5"	
II	I	O:16 (l)	16		d	"1,5"	
II	I	O:16 (l)	16		z29	"1,5"	
Rovaniemi	I	O:16 (l)	16	"r,i/r,[i]"	"r,i"	"1,5"	
Saboya	I	O:16 (l)	16		"e,h"	"1,5"	
Sculcoates	I	O:16 (l)	16		d	"1,5"	
Vancouver	I	O:16 (l)	16		c	"1,5"	
Wa	I	O:16 (l)	16		b	"1,5"	
Zigong	I	O:16 (l)	16		"l,w"	"1,5"	
Berlin	J	O:17 (J)	17		d	"1,5"	
Luedinghausen	J	O:17 (J)	17		c	"1,5"	
Warengo	J	O:17 (J)	17		z	"1,5"	
Groenekan	K	O:18 (K)	18		d	"1,5"	
II	K	O:18 (K)	18	mt/mptu	"m,t"	"1,5"	
Leer	K	O:18 (K)	18		z10	"1,5"	
Tennenlohe	K	O:18 (K)	18		r	"1,5"	
Koessen	A/D	O:2 (A)	"2,12"	"l,v/l,z13"	"l,v"	"1,5"	
II	L	O:21 (L)	21		b	"1,5"	
Spartel	L	O:21 (L)	21		d	"1,5"	
Amoutive	M	O:28 (M)	28		d	"1,5"	
Cannobio	M	O:28 (M)	28		"z4,z23"	"1,5"	
Catalunia	M	O:28 (M)	28		"l,z13,z28"	"1,5"	
Chicago	M	O:28 (M)	28	"r,i/r,[i]"	"r,[i]"	"1,5"	
Hermannswerder	M	O:28 (M)	28		c	"1,5"	
II	M	O:28 (M)	28		"g,(m),[s],t"	"1,5"	
II	M	O:28 (M)	28		"l,z28"	"1,5"	
II	M	O:28 (M)	28		z	"1,5"	
II	M	O:28 (M)	28		z29	"1,5"	
Ilala	M	O:28 (M)	28		k	"1,5"	
Korkeasaari	M	O:28 (M)	28		"e,h"	"1,5"	
Leoben	M	O:28 (M)	28	"l,v/l,z13"	"l,v"	"1,5"	
Moero	M	O:28 (M)	28		b	"1,5"	
Solna	M	O:28 (M)	28		a	"1,5"	
Vanier	M	O:28 (M)	28		z	"1,5"	
Amounderness	E	"O:3,10 (E1)"	"3,10"		i	"1,5"	
Bloomsbury	E	"O:3,10 (E1)"	"3,10"	"g,s,t/g,t"	"g,t"	"1,5"	
Fufu	E	"O:3,10 (E1)"	"3,10"		z	"1,5"	
Goelzau	E	"O:3,10 (E1)"	"3,{10}{15}"		a	"1,5"	
II	E	"O:3,10 (E1)"	"3,10"	mt/mptu	"m,t"	"1,5"	
II	E	"O:3,10 (E1)"	"3,10"		"l,z28"	"1,5"	
II	E	"O:3,10 (E1)"	"3,10"		z	"1,5"	
Shangani	E	"O:3,10 (E1)"	"3,{10}{15}"		d	"1,5"	
Sinstorf	E	"O:3,10 (E1)"	"3,10"	"l,v/l,z13"	"l,v"	"1,5"	
Ughelli	E	"O:3,10 (E1)"	"3,10"		r	"1,5"	
Aschersleben	N	O:30 (N)	30		b	"1,5"	
Bietri	N	O:30 (N)	30		y	"1,5"	
Donna	N	O:30 (N)	30	"l,v/l,z13"	"l,v"	"1,5"	
Gege	N	O:30 (N)	30		r	"1,5"	
Messina	N	O:30 (N)	30		d	"1,5"	
Morehead	N	O:30 (N)	30		i	"1,5"	
Ramatgan	N	O:30 (N)	30		k	"1,5"	
Senneville	N	O:30 (N)	30		z10	"1,5"	
Torhout	N	O:30 (N)	30		"e,h"	"1,5"	
Zehlendorf	N	O:30 (N)	30		a	"1,5"	
Camberene	O	O:35 (O)	35		z10	"1,5"	
Gouloumbo	O	O:35 (O)	35		c	"1,5"	
II	O	O:35 (O)	35		d	"1,5"	
II	O	O:35 (O)	35	"g,s,t/g,t"	"g,t"	"1,5"	
Thompson	C1	O:7 (C1)	"6,7,14"		k	"1,5"	[R1É]
Newport	C2-C3	O:8 (C2-C3)	"6,8,20"		"e,h"	"1,5"	"[z67], [z78]"
Infantis	C1	O:7 (C1)	"6,7,14"		r	"1,5"	"[R1É],[z37],[z45],[z49]"
Javiana	A/D	O:9 (D1)	"1,9,12"		"l,z28"	"1,5"	[R1É]
Panama	A/D	O:9 (D1)	"1,9,12"	"l,v/l,z13"	"l,v"	"1,5"	[R1É]
Kiambu	B	O:4 (B)	"1,4,12"		z	"1,5"	
Bovismorbificans	C2-C3	O:8 (C2-C3)	"6,8,20"	"r,i/r,[i]"	"r,[i]"	"1,5"	[R1É]
Bareilly	C1	O:7 (C1)	"6,7,14"		y	"1,5"	
Manhattan	C2-C3	O:8 (C2-C3)	"6,8"		d	"1,5"	[z58]
Blockley	C2-C3	O:8 (C2-C3)	"6,8"		k	"1,5"	[z58]
Miami	A/D	O:9 (D1)	"1,9,12"		a	"1,5"	
Eastbourne	A/D	O:9 (D1)	"1,9,12"		"e,h"	"1,5"	
Reading	B	O:4 (B)	"1,4,[5],12"		"e,h"	"1,5"	[R1É]
Choleraesuis	C1	O:7 (C1)	"6,7"		c	"1,5"	
Nessziona	C1	O:7 (C1)	"6,7"	"l,v/l,z13"	"l,z13"	"1,5"	
Kottbus	C2-C3	O:8 (C2-C3)	"6,8"		"e,h"	"1,5"	
Irumu	C1	O:7 (C1)	"6,7"	"l,v/l,z13"	"l,v"	"1,5"	
Kingabwa	U	O:43 (U)	43		y	"1,5"	
Edinburg	C1	O:7 (C1)	"6,7,14"		b	"1,5"	
Haardt	C2-C3	O:8 (C2-C3)	8		k	"1,5"	
Takoradi	C2-C3	O:8 (C2-C3)	"6,8"		i	"1,5"	
Isangi	C1	O:7 (C1)	"6,7,14"		d	"1,5"	
Paratyphi C	C1	O:7 (C1)	"6,7,[Vi]"		c	"1,5"	
Overschie		O:51	51	"l,v/l,z13"	"l,v"	"1,5"	
