Salmonella	Serogroup	Group	O Antigen	Shared H1 Probe	H Phase 1	H Phase 2	Other
IV	L	O:21 (L)	21		z36	-	
Keve	L	O:21 (L)	21		"l,w"	-	
Mountmagnet	L	O:21 (L)	21		r	-	
Djermaia	M	O:28 (M)	28		z29	-	
Friedrichsfelde	M	O:28 (M)	28		"f,g"	-	
Kethiabarny	M	O:28 (M)	28		"z4,z24"	-	
Ona	M	O:28 (M)	28	"g,s,t/g,t"	"g,s,t"	-	
Florian	E	"O:3,10 (E1)"	"3,{10}{15}"		"z4,z24"	-	
II	E	"O:3,10 (E1)"	"3,10"	"g,s,t/g,t"	"g,t"	-	
II	E	"O:3,10 (E1)"	"3,10"		"z4,z24"	-	
Jedburgh	E	"O:3,10 (E1)"	"3,{10}{15}"		z29	-	
Macallen	E	"O:3,10 (E1)"	"3,10"		z36	-	
Suberu	E	"O:3,10 (E1)"	"3,10"		"g,m"	-	
Westhampton	E	"O:3,10 (E1)"	"3,{10}{15}{15,34}"	"g,s,t/g,t"	"g,s,t"	-	[z37]
Bodjonegoro	N	O:30 (N)	30		"z4,z24"	-	
Giessen	N	O:30 (N)	30		"g,m,s"	-	
Godesberg	N	O:30 (N)	30		"g,m,[t]"	-	
II	N	O:30 (N)	30	"g,s,t/g,t"	"g,t"	-	
II	N	O:30 (N)	30	mt/mptu	"m,t"	-	
Sternschanze	N	O:30 (N)	30	"g,s,t/g,t"	"g,s,t"	-	[z59]
Stoneferry	N	O:30 (N)	30		"z4,z23"	-	
Wayne	N	O:30 (N)	30		"g,z51"	-	
Anecho	O	O:35 (O)	35	"g,s,t/g,t"	"g,s,t"	-	
Haga	O	O:35 (O)	35		z38	-	
II	O	O:35 (O)	35		"g,m,s,t"	-	
II	O	O:35 (O)	35	mt/mptu	"m,t"	-	
II	O	O:35 (O)	35		"l,z28"	-	
IIIa	O	O:35 (O)	35		"g,z51"	-	
IIIa	O	O:35 (O)	35		"z4,z23"	-	
IIIa	O	O:35 (O)	35		"z4,z24"	-	
IIIa	O	O:35 (O)	35		"z4,z32"	-	
IIIa	O	O:35 (O)	35		z29	-	
IIIa	O	O:35 (O)	35		z36	-	
Tchad	O	O:35 (O)	35		b	-	
Westphalia	O	O:35 (O)	35		"z4,z24"	-	
Widemarsh	O	O:35 (O)	35		z29	-	
Bangkok	P	O:38 (P)	38		"z4,z24"	-	
II	P	O:38 (P)	38	"g,s,t/g,t"	"g,t"	-	
IIIa	P	O:38 (P)	38		"g,z51"	-	
IIIa	P	O:38 (P)	38		"z4,z23"	-	
IIIb	P	O:38 (P)	38		(k)	-	
Enteritidis	A/D	O:9 (D1)	"1,9,12"	g-complex	"g,m"	-	
Typhi	A/D	O:9 (D1)	"9,12[Vi]"		d	-	[z66]
Montevideo		O:54	"{6,7,14}{54}"		"g,m,s"	-	
Berta	A/D	O:9 (D1)	"1,9,12"		"[f],g,[t]"	-	
Albany	C2-C3	O:8 (C2-C3)	"8,20"		"z4,z24"	-	[z45]
Rissen	C1	O:7 (C1)	"6,7,14"		"f,g"	-	
Dublin	A/D	O:9 (D1)	"1,9,12[Vi]"		"g,p"	-	
Emek	C2-C3	O:8 (C2-C3)	"8,20"		"g,m,s"	-	
Oranienburg	C1	O:7 (C1)	"6,7,14"		"g,m,[t]"	-	
Othmarschen	C1	O:7 (C1)	"6,7,14"		"g,m,[t]"	-	
II	C1	O:7 (C1)	"6,7"		"g,m,[t]"	-	
Apapa	W	O:45 (W)	45	mt/mptu	"m,t"	-	
Milwaukee	U	O:43 (U)	43		"f,g,[t]"	-	
Caracas	H	"O:6,14 (H)"	"[1],6,14,[25]"		"g,m,s"	-	
Essen	B	O:4 (B)	"4,12"		"g,m"	-	
Offa	S	O:41 (S)	41		z38	-	
Kua	V	O:44 (V)	44		"z4,z23"	-	
Suelldorf	W	O:45 (W)	45		"f,g"	-	
Tornow	W	O:45 (W)	45		"g,m,[s],[t]"	-	
Luke	X	O:47 (X)	"1,47"		"g,m"	-	
Uzaramo	H	"O:6,14 (H)"	"1,6,14,25"		"z4,z24"	-	
Apeyeme	C2-C3	O:8 (C2-C3)	"8,20"		z38	-	
Blegdam	A/D	O:9 (D1)	"9,12"	g-complex	"g,m,q"	-	
Gallinarum	A/D	O:9 (D1)	"1,9,12"		-	-	
Naestved	A/D	O:9 (D1)	"1,9,12"	"g,p/g,p,s"	"g,p,s"	-	
Ouakam	A/D	"O:9,46 (D2)"	"9,46"		z29	-	[z45]
IIIb	P	O:38 (P)	38		z53	-	"[z47],[z50],[z76]"
IV	P	O:38 (P)	38		"g,z51"	-	
IV	P	O:38 (P)	38		"z4,z23"	-	
Klouto	P	O:38 (P)	38		z38	-	
Korovi	P	O:38 (P)	38		"g,m,[s]"	-	
Rothenburgsort	P	O:38 (P)	38	mt/mptu	"m,t"	-	
Stachus	P	O:38 (P)	38		z	-	
Dietrichsdorf	Q	O:39 (Q)	39	mt/mptu	"m,t"	-	
Hegau	Q	O:39 (Q)	39		z10	-	
Namur	Q	O:39 (Q)	39		"z4,z23"	-	
Brancaster	B	O:4 (B)	"1,4,12,27"		z29	-	
Budapest	B	O:4 (B)	"1,4,12,[27]"	"g,s,t/g,t"	"g,t"	-	
II	B	O:4 (B)	"4,12"		"g,z62"	-	
Mygdal	B	O:4 (B)	"4,12"		z91	-	
Schleissheim	B	O:4 (B)	"4,12,27"		b	-	
I	B	O:4 (B)	"4,5,12"		b	-	
Tejas	B	O:4 (B)	"4,12"		z36	-	
Tennyson	R	O:40 (R) 	40		"g,z51"	-	
Travis	R	O:40 (R) 	"1,40"		"g,z51"	-	
Bijlmer	R	O:40 (R) 	"1,40"		"g,m"	-	
II	R	O:40 (R) 	40		b	-	
II	R	O:40 (R) 	40		d	-	
IIIa	S	O:41 (S)	41		"g,z51"	-	
IIIa	R	O:40 (R) 	40		"z4,z23"	-	
IIIa	R	O:40 (R) 	40		"z4,z24"	-	
IIIa	R	O:40 (R) 	40		"z4,z32"	-	
IIIa	R	O:40 (R) 	40		z29	-	
IIIa	R	O:40 (R) 	40		z36	-	
IIIb	T	O:42 (T)	42		"g,z51"	-	
IV	R	O:40 (R) 	"1,40"	"g,s,t/g,t"	"g,t"	-	
IV	T	O:42 (T)	"1,42"		"g,z51"	-	
IV	R	O:40 (R) 	40	mt/mptu	"m,t"	-	
IV	R	O:40 (R) 	"1,40"		"z4,z23"	-	
IV	R	O:40 (R) 	"1,40"		"z4,z24"	-	
IV	R	O:40 (R) 	"1,40"		"z4,z32"	-	
Omifisan	R	O:40 (R) 	"1,40"		z29	-	
V	R	O:40 (R) 	"1,40"		z35	-	
V	R	O:40 (R) 	"1,40"		z81	-	
Burundi	S	O:41 (S)	41		a	-	
II	S	O:41 (S)	41	"g,s,t/g,t"	"g,t"	-	
IIIa	U	O:43 (U)	43		"g,z51"	-	
IIIa	S	O:41 (S)	41		"z4,z23"	-	
IIIa	S	O:41 (S)	41		"z4,z23,z32"	-	
IIIa	S	O:41 (S)	41		"z4,z24"	-	
IIIa	S	O:41 (S)	41		"z4,z32"	-	
IIIa	S	O:41 (S)	41		z29	-	
IIIa	S	O:41 (S)	41		z36	-	
IV	S	O:41 (S)	41		"z4,z23"	-	
IV	S	O:41 (S)	41		z29	-	
IV	S	O:41 (S)	41		z36	-	
IV	S	O:41 (S)	41		z52	-	
Lodz	S	O:41 (S)	41		z29	-	
Lonestar	S	O:41 (S)	41		c	-	
II	T	O:42 (T)	42	"g,s,t/g,t"	"g,t"	-	
II	T	O:42 (T)	42		r	-	
II	T	O:42 (T)	42		z29	-	
IIIa	U	O:43 (U)	43		"g,z51"	-	
IIIa	T	O:42 (T)	42		"z4,z23"	-	
IIIa	T	O:42 (T)	42		"z4,z24"	-	
IIIb	T	O:42 (T)	42		r	-	[z50]
IV	V	O:44 (V)	44		"g,z51"	-	
IV	T	O:42 (T)	"1,42"		"z4,z24"	-	
IV	T	O:42 (T)	42		z36	-	
Maricopa	V	O:44 (V)	44		"g,z51"	-	
Taset	T	O:42 (T)	"1,42"		z41	-	
Toricada	T	O:42 (T)	"1,42"		"z4,z24"	-	
Waral	T	O:42 (T)	"1,42"	mt/mptu	"m,t"	-	
